left_idx,right_idx,sem_score,left_sig,right_sig
0,79,0.0,price_jsonld,bumper width
0,92,0.0,price_jsonld,drill size
0,91,0.0,price_jsonld,top screw/rod diameter
0,90,0.0,price_jsonld,similar to
0,89,0.0,price_jsonld,full ball diameter
0,88,0.0,price_jsonld,ball height
0,87,0.0,price_jsonld,lock nut
0,86,0.0,price_jsonld,lock out
0,85,0.0,price_jsonld,body finish
0,84,0.0,price_jsonld,thread type
1,253,0.0,currency_jsonld,military standard equivalent
1,79,0.0,currency_jsonld,bumper width
1,92,0.0,currency_jsonld,drill size
1,91,0.0,currency_jsonld,top screw/rod diameter
1,90,0.0,currency_jsonld,similar to
1,89,0.0,currency_jsonld,full ball diameter
1,88,0.0,currency_jsonld,ball height
1,87,0.0,currency_jsonld,lock nut
1,86,0.0,currency_jsonld,lock out
1,85,0.0,currency_jsonld,body finish
2,253,0.0,sku,military standard equivalent
2,79,0.0,sku,bumper width
2,92,0.0,sku,drill size
2,91,0.0,sku,top screw/rod diameter
2,90,0.0,sku,similar to
2,89,0.0,sku,full ball diameter
2,88,0.0,sku,ball height
2,87,0.0,sku,lock nut
2,86,0.0,sku,lock out
2,85,0.0,sku,body finish
3,6,0.177,mpn,manufacturers part number
3,253,0.0,mpn,military standard equivalent
3,87,0.0,mpn,lock nut
3,82,0.0,mpn,hardness
3,83,0.0,mpn,door handle type
3,84,0.0,mpn,thread type
3,85,0.0,mpn,body finish
3,86,0.0,mpn,lock out
3,89,0.0,mpn,full ball diameter
3,88,0.0,mpn,ball height
4,5,0.956,meta_description,og_description
4,10,0.194,meta_description,description
4,16,0.127,meta_description,type
4,14,0.127,meta_description,size
4,13,0.119,meta_description,finish
4,85,0.096,meta_description,body finish
4,74,0.09,meta_description,set screw body material
4,8,0.069,meta_description,material
4,78,0.055,meta_description,cutting point
4,44,0.053,meta_description,alloy
5,4,0.956,og_description,meta_description
5,10,0.194,og_description,description
5,16,0.127,og_description,type
5,14,0.127,og_description,size
5,13,0.119,og_description,finish
5,85,0.096,og_description,body finish
5,74,0.09,og_description,set screw body material
5,8,0.069,og_description,material
5,78,0.055,og_description,cutting point
