url,name,brand,price,currency,specs,spec_pricejsonld,spec_currencyjsonld,spec_sku,spec_mpn,spec_metadescription,spec_ogdescription,spec_manufacturers-part-number,spec_brand,spec_material,spec_package-quantity,spec_description,spec_country-of-origin,spec_length,spec_finish,spec_size,spec_unit-of-measurement,spec_type,spec_color,spec_height,spec_width,spec_head,spec_grade,spec_warranty,spec_certifications,spec_weight,spec_diameter,spec_thread,spec_gauge,spec_style,spec_weight-capacity,spec_includes,spec_thread-size,spec_for-use-with,spec_series,spec_full-or-partial-thread,spec_number-of-pieces,spec_depth,spec_thread-length,spec_load-capacity-range,spec_thickness,spec_drive,spec_base-diameter,spec_design,spec_threading-type,spec_alloy,spec_padlock-capacity,spec_installed-length,spec_crown,spec_body-material,spec_units,spec_inner-diameter,spec_fastener-collation,spec_interior-or-exterior-use,spec_pin-diameter,spec_stud-length,spec_pin-length,spec_fire-rating,spec_af,spec_mounting-distance,spec_spring-rate,spec_max-travel,spec_body-mount-material,spec_durometer,spec_cover-plate-material,spec_insert-material,spec_nose-material,spec_fits-door-thickness,spec_end-pressure-start,spec_end-pressure-full,spec_vertical-lifting-load,spec_mounting-location,spec_package-includes,spec_max-deflection,spec_adhesive,spec_set-screw-body-material,spec_ball-material,spec_knob-diameter,spec_mounting-dimensions,spec_cutting-point
https://www.globalindustrial.com/p/101277-socket-set-screw-10-32-x-3-8-cup-point-steel-black-oxide-fine-pkg-of-100,"Socket Set Screw - 10-32 x 3/8"" - Cup Point - Steel Alloy - Thermal Black Oxide - UNF - 100 Pk",,9.30,USD,"{""price_jsonld"":""5.80"",""currency_jsonld"":""USD"",""sku"":""B2100805"",""mpn"":""101277"",""brand"":""Brighton-Best"",""Length"":""3/8 In in"",""Size"":""10/32"",""Thread"":""Fine in"",""Unit of Measurement"":""Inch (Imperial)"",""Type"":""Cup Point"",""Country of Origin"":""Import"",""Finish"":""Black Oxide"",""Material"":""Alloy Steel"",""Description"":""Socket Set Screw"",""Package Quantity"":""100"",""Manufacturers Part Number"":""101277"",""Brand"":""Brighton-Best"",""meta_description"":""Socket Set Screw - 10-32 x 3/8&quot; - Cup Point - Steel Alloy - Thermal Black Oxide - UNF - 100 Pk. Usually ships in2 days. Buy it and Save at Globalindustrial.com"",""og_description"":""Socket Set Screw - 10-32 x 3/8&quot; - Cup Point - Steel Alloy - Thermal Black Oxide - UNF - 100 Pk. Usually ships in2 days. Buy it and Save at Globalindustrial.com""}",5.80,USD,B2100805,101277,Socket Set Screw - 10-32 x 3/8&quot; - Cup Point - Steel Alloy - Thermal Black Oxide - UNF - 100 Pk. Usually ships in2 days. Buy it and Save at Globalindustrial.com,Socket Set Screw - 10-32 x 3/8&quot; - Cup Point - Steel Alloy - Thermal Black Oxide - UNF - 100 Pk. Usually ships in2 days. Buy it and Save at Globalindustrial.com,101277,Brighton-Best,Alloy Steel,100,Socket Set Screw,Import,3/8 In in,Black Oxide,10/32,Inch (Imperial),Cup Point,,,,,,,,,,Fine in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.globalindustrial.com/p/ceramic-round-base-magnet-rb50c-35-lbs-pull,Master Magnetics Ceramic Round Base Magnet RB50CBX - 25 Lbs. Pull - Pkg Qty 25,,12.75,USD,"{""price_jsonld"":""77.18"",""currency_jsonld"":""USD"",""sku"":""B1798404"",""mpn"":""RB50CBX"",""brand"":""Master Magnetics"",""Length"":""2.04 in"",""Width"":""2.04 in"",""Height"":""2.9 in"",""Weight Capacity"":""25 lbs"",""Weight"":""0.2 lbs"",""Assembly Required"":""No"",""Type"":""Ceramic Magnet"",""Color"":""Silver"",""Material"":""Magnet & Steel"",""Package Quantity"":""25"",""Manufacturers Part Number"":""RB50CBX"",""Brand"":""Master Magnetics"",""Warranty"":""1 yr"",""meta_description"":""Master Magnetics Ceramic Round Base Magnet RB50CBX - 25 Lbs. Pull - Pkg Qty 25. Ships in One Business Day. Buy it and Save at Globalindustrial.com"",""og_description"":""Master Magnetics Ceramic Round Base Magnet RB50CBX - 25 Lbs. Pull - Pkg Qty 25. Ships in One Business Day. Buy it and Save at Globalindustrial.com""}",77.18,USD,B1798404,RB50CBX,Master Magnetics Ceramic Round Base Magnet RB50CBX - 25 Lbs. Pull - Pkg Qty 25. Ships in One Business Day. Buy it and Save at Globalindustrial.com,Master Magnetics Ceramic Round Base Magnet RB50CBX - 25 Lbs. Pull - Pkg Qty 25. Ships in One Business Day. Buy it and Save at Globalindustrial.com,RB50CBX,Master Magnetics,Magnet & Steel,25,,,2.04 in,,,,Ceramic Magnet,Silver,2.9 in,2.04 in,,,1 yr,,0.2 lbs,,,,,25 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.globalindustrial.com/p/494055-hex-bolt-3-8-16-x-3-grade-a-steel-zinc-unc-pt-pkg-of-50,"Hex Bolt - 3/8-16 x 3"" - Grade A - Steel - Zinc CR+3 - UNC - PT - A307 - Pkg of 50 - BBI 494055",,299.90,USD,"{""price_jsonld"":""24.00"",""currency_jsonld"":""USD"",""sku"":""B2100845"",""mpn"":""494055"",""brand"":""Brighton-Best"",""Length"":""3 in"",""Size"":""3/8-16"",""Head"":""Hex"",""Unit of Measurement"":""Inch (Imperial)"",""Coarse or Fine Thread"":""Coarse"",""Country of Origin"":""Import"",""Finish"":""Zinc"",""Material"":""Steel"",""Description"":""Hex Bolt"",""Package Quantity"":""50"",""Manufacturers Part Number"":""494055"",""Full or Partial Thread"":""Partial"",""Grade"":""Grade A"",""Brand"":""Brighton-Best"",""meta_description"":""Hex Bolt - 3/8-16 x 3&quot; - Grade A - Steel - Zinc CR+3 - UNC - PT - A307 - Pkg of 50 - BBI 494055. Ships in One Business Day. Buy it and Save at Globalindustrial.com"",""og_description"":""Hex Bolt - 3/8-16 x 3&quot; - Grade A - Steel - Zinc CR+3 - UNC - PT - A307 - Pkg of 50 - BBI 494055. Ships in One Business Day. Buy it and Save at Globalindustrial.com""}",24.00,USD,B2100845,494055,Hex Bolt - 3/8-16 x 3&quot; - Grade A - Steel - Zinc CR+3 - UNC - PT - A307 - Pkg of 50 - BBI 494055. Ships in One Business Day. Buy it and Save at Globalindustrial.com,Hex Bolt - 3/8-16 x 3&quot; - Grade A - Steel - Zinc CR+3 - UNC - PT - A307 - Pkg of 50 - BBI 494055. Ships in One Business Day. Buy it and Save at Globalindustrial.com,494055,Brighton-Best,Steel,50,Hex Bolt,Import,3 in,Zinc,3/8-16,Inch (Imperial),,,,,Hex,Grade A,,,,,,,,,,,,,Partial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.globalindustrial.com/p/global-industrial-roof-hatch-safety-railing-galvanized-36-x24-36-x30,"Global Industrial™ Galvanized Steel Safety Railing For 24"" x 36"" & 30"" x 36"" Roof Hatches",,1519.00,USD,"{""price_jsonld"":""1519.00"",""currency_jsonld"":""USD"",""sku"":""713159"",""mpn"":""713159"",""brand"":""Global Industrial"",""Length"":""51-1/2 in"",""Width"":""46-1/3 in"",""Depth"":""2 in"",""Height"":""33-2/3 in"",""Weight"":""86 lbs"",""Type"":""Safety Railing"",""Color"":""Powder Coated Yellow"",""For Use With"":""24\"" x 36\"" & 30\"" x 36\"" Roof Hatches"",""Material"":""Galvanized Steel"",""Description"":""Roof Hatch Safety Railing"",""Manufacturers Part Number"":""713159"",""Brand"":""Global Industrial"",""Warranty"":""1 yr"",""meta_description"":""Global Industrial&#153; Galvanized Steel Safety Railing For 24&quot; x 36&quot; & 30&quot; x 36&quot; Roof Hatches. Ships in One Business Day. Buy it and Save at Globalindustrial.com"",""og_description"":""Global Industrial&#153; Galvanized Steel Safety Railing For 24&quot; x 36&quot; & 30&quot; x 36&quot; Roof Hatches. Ships in One Business Day. Buy it and Save at Globalindustrial.com""}",1519.00,USD,713159,713159,Global Industrial&#153; Galvanized Steel Safety Railing For 24&quot; x 36&quot; & 30&quot; x 36&quot; Roof Hatches. Ships in One Business Day. Buy it and Save at Globalindustrial.com,Global Industrial&#153; Galvanized Steel Safety Railing For 24&quot; x 36&quot; & 30&quot; x 36&quot; Roof Hatches. Ships in One Business Day. Buy it and Save at Globalindustrial.com,713159,Global Industrial,Galvanized Steel,,Roof Hatch Safety Railing,,51-1/2 in,,,,Safety Railing,Powder Coated Yellow,33-2/3 in,46-1/3 in,,,1 yr,,86 lbs,,,,,,,,"24"" x 36"" & 30"" x 36"" Roof Hatches",,,,2 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.globalindustrial.com/p/tb200-hydraulic-gate-closer,Lockey TB200 Hydraulic Gate Closer,,239.95,USD,"{""price_jsonld"":""439.95"",""currency_jsonld"":""USD"",""sku"":""B2229075"",""mpn"":""TB200"",""brand"":""LockeyUSA"",""Length"":""29-3/8 in"",""Depth"":""4-7/8"",""Weight"":""3 lbs"",""Max Door Width"":""52 in"",""Assembled Width"":""1-7/8 in"",""Exit Type"":""Gate"",""Color"":""Black"",""For Use With"":""Gates 50-125 lbs."",""Material"":""Steel"",""Package Quantity"":""1"",""Manufacturers Part Number"":""TB200"",""Brand"":""LockeyUSA"",""Warranty"":""1 yr"",""meta_description"":""Lockey TB200 Hydraulic Gate Closer. Usually ships in3 days. Buy it and Save at Globalindustrial.com"",""og_description"":""Lockey TB200 Hydraulic Gate Closer. Usually ships in3 days. Buy it and Save at Globalindustrial.com""}",439.95,USD,B2229075,TB200,Lockey TB200 Hydraulic Gate Closer. Usually ships in3 days. Buy it and Save at Globalindustrial.com,Lockey TB200 Hydraulic Gate Closer. Usually ships in3 days. Buy it and Save at Globalindustrial.com,TB200,LockeyUSA,Steel,1,,,29-3/8 in,,,,,Black,,,,,1 yr,,3 lbs,,,,,,,,Gates 50-125 lbs.,,,,4-7/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.globalindustrial.com/p/662158-machine-screw-m6-x-1-00-x-16mm-pan-head-phillips-drive-steel-zinc-pkg-of-200,Machine Screw - M6 x 1.00 x 16mm - Phillips Pan Head - Class 4.8 - Steel - Zinc - DIN 7985A - 200 Pk,,5.10,USD,"{""price_jsonld"":""61.95"",""currency_jsonld"":""USD"",""sku"":""B2100475"",""mpn"":""662158"",""brand"":""Brighton-Best"",""Length"":""16 mm"",""Size"":""M6 x 1.0"",""Head"":""Pan"",""Unit of Measurement"":""Metric"",""Drive"":""Phillips"",""Country of Origin"":""Import"",""Finish"":""Zinc"",""Material"":""Steel"",""Description"":""Machine Screw"",""Package Quantity"":""200"",""Manufacturers Part Number"":""662158"",""Brand"":""Brighton-Best"",""Certifications"":""DIN 7985A"",""meta_description"":""Machine Screw - M6 x 1.00 x 16mm - Phillips Pan Head - Class 4.8 - Steel - Zinc - DIN 7985A - 200 Pk. Ships in One Business Day. Buy it and Save at Globalindustrial.com"",""og_description"":""Machine Screw - M6 x 1.00 x 16mm - Phillips Pan Head - Class 4.8 - Steel - Zinc - DIN 7985A - 200 Pk. Ships in One Business Day. Buy it and Save at Globalindustrial.com""}",61.95,USD,B2100475,662158,Machine Screw - M6 x 1.00 x 16mm - Phillips Pan Head - Class 4.8 - Steel - Zinc - DIN 7985A - 200 Pk. Ships in One Business Day. Buy it and Save at Globalindustrial.com,Machine Screw - M6 x 1.00 x 16mm - Phillips Pan Head - Class 4.8 - Steel - Zinc - DIN 7985A - 200 Pk. Ships in One Business Day. Buy it and Save at Globalindustrial.com,662158,Brighton-Best,Steel,200,Machine Screw,Import,16 mm,Zinc,M6 x 1.0,Metric,,,,,Pan,,,DIN 7985A,,,,,,,,,,,,,,,,,Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.globalindustrial.com/p/powder-coated-galvanized-steel-roof-hatch-safety-extension-handle,"Global Industrial™ Powder Coated, Steel Roof Hatch Safety Extension Handle",,199.95,USD,"{""price_jsonld"":""199.95"",""currency_jsonld"":""USD"",""sku"":""713157"",""mpn"":""713157"",""brand"":""Global Industrial"",""Width"":""9 in"",""Height"":""9-1/2 in"",""Weight"":""7-1/2 lbs"",""Overall Frame Height"":""9-1/2 in"",""Opening Height"":""9-1/2 in"",""Opening Depth"":""24-1/2 in"",""Opening Width"":""9 in"",""Material"":""Steel"",""Description"":""Safety Extension Handle"",""Color"":""Yellow Powder Coat"",""Manufacturers Part Number"":""713157"",""Brand"":""Global Industrial"",""meta_description"":""Global Industrial&#8482; Powder Coated, Steel Roof Hatch Safety Extension Handle. Ships in One Business Day. Buy it and Save at Globalindustrial.com"",""og_description"":""Global Industrial&#8482; Powder Coated, Steel Roof Hatch Safety Extension Handle. Ships in One Business Day. Buy it and Save at Globalindustrial.com""}",199.95,USD,713157,713157,"Global Industrial&#8482; Powder Coated, Steel Roof Hatch Safety Extension Handle. Ships in One Business Day. Buy it and Save at Globalindustrial.com","Global Industrial&#8482; Powder Coated, Steel Roof Hatch Safety Extension Handle. Ships in One Business Day. Buy it and Save at Globalindustrial.com",713157,Global Industrial,Steel,,Safety Extension Handle,,,,,,,Yellow Powder Coat,9-1/2 in,9 in,,,,,7-1/2 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.globalindustrial.com/p/hager-307d-door-silencer,Hager 307d Door Silencer (Pack of 100),,639.00,USD,"{""price_jsonld"":""22.50"",""currency_jsonld"":""USD"",""sku"":""B486614"",""mpn"":""307D000000000000"",""Manufacturers Part Number"":""307D000000000000"",""Package Quantity"":""100"",""Description"":""Door Silencer"",""Warranty"":""1 yr"",""meta_description"":""Hager 307d Door Silencer (Pack of 100). Usually ships in2 days. Buy it and Save at Globalindustrial.com"",""og_description"":""Hager 307d Door Silencer (Pack of 100). Usually ships in2 days. Buy it and Save at Globalindustrial.com""}",22.50,USD,B486614,307D000000000000,Hager 307d Door Silencer (Pack of 100). Usually ships in2 days. Buy it and Save at Globalindustrial.com,Hager 307d Door Silencer (Pack of 100). Usually ships in2 days. Buy it and Save at Globalindustrial.com,307D000000000000,,,100,Door Silencer,,,,,,,,,,,,1 yr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.globalindustrial.com/p/8-32-x-5-8-security-machine-screw-button-torx-head-alloy-steel-black-oxide-ft-100-pk,"8-32 x 5/8"" Security Machine Screw - Button Torx Head - Alloy Steel - Black Oxide - FT - 100 Pk",,249.95,USD,"{""price_jsonld"":""41.95"",""currency_jsonld"":""USD"",""sku"":""B2215605"",""mpn"":""81065"",""brand"":""Tamper-Pruf Screws"",""Length"":""5/8 in"",""Drill Size"":""T-15 in"",""Size"":""#8"",""Head"":""Button"",""Thread"":""Coarse in"",""Unit of Measurement"":""Inch (Imperial)"",""Drive"":""Torx - Pin"",""Country of Origin"":""Made in USA"",""Finish"":""Black Oxide"",""Material"":""Steel"",""Description"":""Tamper Resistant Machine Screw"",""Package Quantity"":""100"",""Manufacturers Part Number"":""81065"",""Full or Partial Thread"":""Full"",""Grade"":""4037"",""Brand"":""Tamper-Pruf Screws"",""meta_description"":""8-32 x 5/8&quot; Security Machine Screw - Button Torx Head - Alloy Steel - Black Oxide - FT - 100 Pk. Usually ships in 1 day. Buy it and Save at Globalindustrial.com"",""og_description"":""8-32 x 5/8&quot; Security Machine Screw - Button Torx Head - Alloy Steel - Black Oxide - FT - 100 Pk. Usually ships in 1 day. Buy it and Save at Globalindustrial.com""}",41.95,USD,B2215605,81065,8-32 x 5/8&quot; Security Machine Screw - Button Torx Head - Alloy Steel - Black Oxide - FT - 100 Pk. Usually ships in 1 day. Buy it and Save at Globalindustrial.com,8-32 x 5/8&quot; Security Machine Screw - Button Torx Head - Alloy Steel - Black Oxide - FT - 100 Pk. Usually ships in 1 day. Buy it and Save at Globalindustrial.com,81065,Tamper-Pruf Screws,Steel,100,Tamper Resistant Machine Screw,Made in USA,5/8 in,Black Oxide,#8,Inch (Imperial),,,,,Button,4037,,,,,Coarse in,,,,,,,,Full,,,,,,Torx - Pin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.globalindustrial.com/p/neodymium-swiveling-magnetic-hook-65-lbs-pull-black-powdered-coat,"Global Industrial™ Neodymium Swiveling Magnetic Hook, Black Powdered Coat, 65 Lbs. Pull, 6/Pack",,57.95,USD,"{""price_jsonld"":""57.95"",""currency_jsonld"":""USD"",""sku"":""320755"",""mpn"":""320755"",""brand"":""Global Industrial"",""Length"":""1.47 in"",""Width"":""1.47 in"",""Height"":"".64 in"",""Weight Capacity"":""65 lbs"",""Weight"":""0.2 lbs"",""Assembly Required"":""No"",""Type"":""Neodymium Magnet"",""Color"":""Black"",""Style"":""Hook"",""Material"":""Magnet & Steel"",""Package Quantity"":""6"",""Manufacturers Part Number"":""320755"",""Brand"":""Global Industrial"",""Warranty"":""1 yr"",""meta_description"":""Global Industrial&#153; Neodymium Swiveling Magnetic Hook, Black Powdered Coat, 65 Lbs. Pull, 6/Pack. Ships in One Business Day. Buy it and Save at Globalindustrial.com"",""og_description"":""Global Industrial&#153; Neodymium Swiveling Magnetic Hook, Black Powdered Coat, 65 Lbs. Pull, 6/Pack. Ships in One Business Day. Buy it and Save at Globalindustrial.com""}",57.95,USD,320755,320755,"Global Industrial&#153; Neodymium Swiveling Magnetic Hook, Black Powdered Coat, 65 Lbs. Pull, 6/Pack. Ships in One Business Day. Buy it and Save at Globalindustrial.com","Global Industrial&#153; Neodymium Swiveling Magnetic Hook, Black Powdered Coat, 65 Lbs. Pull, 6/Pack. Ships in One Business Day. Buy it and Save at Globalindustrial.com",320755,Global Industrial,Magnet & Steel,6,,,1.47 in,,,,Neodymium Magnet,Black,.64 in,1.47 in,,,1 yr,,0.2 lbs,,,,Hook,65 lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
