key,count,example
price_jsonld,1421,5.80
currency_jsonld,1421,USD
sku,1421,B2100805
mpn,1421,101277
meta_description,1421,Socket Set Screw - 10-32 x 3/8&quot; - Cup Point - Steel Alloy - Thermal Black Oxide - UNF - 100 Pk. Usually ships in2 days. Buy it and Save at Globalindustrial.com
og_description,1421,Socket Set Screw - 10-32 x 3/8&quot; - Cup Point - Steel Alloy - Thermal Black Oxide - UNF - 100 Pk. Usually ships in2 days. Buy it and Save at Globalindustrial.com
Manufacturers Part Number,1364,101277
brand,1321,Brighton-Best
Brand,1321,Brighton-Best
Material,1093,Alloy Steel
Package Quantity,1002,100
Description,955,Socket Set Screw
Country of Origin,854,Import
Length,829,3/8 In in
Finish,736,Black Oxide
Size,727,10/32
Unit of Measurement,537,Inch (Imperial)
Type,521,Cup Point
Color,460,Silver
Height,413,2.9 in
Width,339,2.04 in
Head,290,Hex
Grade,243,Grade A
Warranty,217,1 yr
Certifications,174,DIN 7985A
Weight,168,0.2 lbs
Diameter,161,.7415 in
Thread,130,Fine in
Gauge,126,18 ga
Style,120,Hook
Weight Capacity,118,25 lbs
Includes,113,"1 pc. @36"", 2 pcs. @83"" and screws"
Thread Size,93,Silver in
For Use With,90,"24"" x 36"" & 30"" x 36"" Roof Hatches"
Series,88,GN471.1
Full or Partial Thread,87,Partial
Number of Pieces,87,13
Depth,86,2 in
Thread Length,86,5/8 in
Load Capacity Range,80,0 - 100 Ft. Lbs. lb-ft
Thickness,80,0.12 in
Drive,79,Phillips
Base Diameter,60,0.31 in
Design,59,Slotted
Threading Type,58,Coarse
Alloy,57,360
Padlock Capacity,57,"1-1/4"", 2"", 2-1/2"""
Installed Length,54,"0.375"""
Crown,52,1/4
Body Material,51,Steel
Units,50,1
Inner Diameter,50,".348"""
Fastener Collation,47,0 Degree
Interior or Exterior Use,46,Interior/Exterior
Pin Diameter,43,.31 in
Stud Length,42,0.24 in
Pin Length,40,.38 in
Fire Rating,38,UL 10C
A/F,36,0.12 in
Mounting Distance,33,3-15/16 in
Spring Rate,32,35 Ft. Lbs./In.
Max Travel,32,2mm
Body Mount Material,32,"Natural rubber (NR), Vulcanized"
Durometer,32,55
Cover Plate Material,32,"Steel, Zinc Plated, Blue Passivated, Molded In"
Insert Material,31,"Steel, Zinc Plated, Blue Passivated, Molded In"
Nose Material,30,Stainless Steel
Fits Door Thickness,29,"1-3/4 STD, 1-3/8 - 2-1/4 Optional in"
End Pressure Start,29,1.00 lbs
End Pressure Full,29,4.00 lbs
Vertical Lifting Load,28,221 lbs
Mounting Location,28,Rubber Resin Adhesive
Package Includes,26,Hardware Kit
Max Deflection,26,"1.15"""
Adhesive,25,No
Set Screw Body Material,25,Stainless Steel
Ball Material,25,Stainless Steel
Knob Diameter,23,.750 in
Mounting Dimensions,22,12 x 3/4 in
Cutting Point,22,Chisel Point
Bumper Width,22,0.500 in
Bumper Height,22,0.140 in
Backing Material,22,Polyurethane
Hardness,22,72 Shore M
Door Handle Type,20,Monroe
Thread Type,19,Fine
Body Finish,18,Black Oxide
Lock Out,18,No
Lock Nut,18,No
Ball Height,18,.4mm
Full Ball Diameter,18,2.5mm
Similar To,17,Bostitch 16S2
Top Screw/Rod Diameter,17,"5/8"""
Drill Size,16,T-15 in
Max Load,16,2800 lbf lbs
Mount Height,16,2-3/4 in
Bolt Size,16,3/8 in
Deflection,15,3/4 in
Rated Load,15,44 - 50
Handle Length,14,5.2 in
Handle Type,14,Non-Handed
Number of Screw Holes,14,8
Dimension H1,13,1.1 in
Dimension D2,13,1.06 in
Handle Height,13,2.66 in
Dimension H2,13,0.67 in
Deflection at Solid Load,13,3/4 in
Drive Type,12,Allen
Torque,12,26.98 lbf
Thread (D1),12,G 3/4
Hex Key Size,12,"1/2"""
Keyway,12,SFIC Core
Pull Ring Diameter,12,".84"""
Max Hole Spacing,12,"3"""
Leveler Material,11,Stainless Steel
Locking Element,11,No
Start-End Pressure,11,3.48 lbs
Final End Pressure,11,6.29 lbs
Assembly Required,9,No
Assembled Width,9,1-7/8 in
Exit Type,9,Gate
Mount Hole Diameter,9,0.50 in
Tap Drill Size,9,"57/64"""
Max User Codes,8,1
Strike,8,ANSI in
Body Diameter,8,0.24 in
Radius,8,5/8 in
Spindle Size,8,"5/16"""
